_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
28,2012Q1,S08000022,SB0801,"",All Cancer Types,d,1,"",1,""
29,2012Q1,S08000024,S08000016,"",All Cancer Types,d,4,"",4,""
30,2012Q1,S08000024,S08000019,"",All Cancer Types,d,1,"",1,""
31,2012Q1,S08000024,S08000024,"",All Cancer Types,d,924,"",913,""
32,2012Q1,S08000024,S08000029,"",All Cancer Types,d,3,"",3,""
33,2012Q1,S08000024,S08000030,"",All Cancer Types,d,1,"",1,""
34,2012Q1,S08000024,S92000003,d,All Cancer Types,d,933,"",922,""
35,2012Q1,S08000025,S08000020,"",All Cancer Types,d,7,"",7,""
36,2012Q1,S08000025,S08000025,"",All Cancer Types,d,3,"",3,""
37,2012Q1,S08000025,S92000003,d,All Cancer Types,d,10,"",10,""
38,2012Q1,S08000026,S08000020,"",All Cancer Types,d,11,"",11,""
39,2012Q1,S08000026,S08000026,"",All Cancer Types,d,19,"",19,""
40,2012Q1,S08000026,S92000003,d,All Cancer Types,d,30,"",30,""
41,2012Q1,S08000028,S08000022,"",All Cancer Types,d,5,"",5,""
42,2012Q1,S08000028,S08000028,"",All Cancer Types,d,18,"",18,""
43,2012Q1,S08000028,S92000003,d,All Cancer Types,d,26,"",26,""
44,2012Q1,S08000028,SB0801,"",All Cancer Types,d,3,"",3,""
45,2012Q1,S08000029,S08000024,"",All Cancer Types,d,70,"",67,""
46,2012Q1,S08000029,S08000029,"",All Cancer Types,d,283,"",278,""
47,2012Q1,S08000029,S08000030,"",All Cancer Types,d,7,"",6,""
48,2012Q1,S08000029,S92000003,d,All Cancer Types,d,360,"",351,""
49,2012Q1,S08000030,S08000020,"",All Cancer Types,d,1,"",1,""
50,2012Q1,S08000030,S08000024,"",All Cancer Types,d,6,"",6,""
51,2012Q1,S08000030,S08000030,"",All Cancer Types,d,465,"",456,""
52,2012Q1,S08000030,S92000003,d,All Cancer Types,d,472,"",463,""
53,2012Q1,S08000031,S08000022,"",All Cancer Types,d,2,"",2,""
54,2012Q1,S08000031,S08000024,"",All Cancer Types,d,2,"",2,""
55,2012Q1,S08000031,S08000031,"",All Cancer Types,d,1330,"",1298,""
56,2012Q1,S08000031,S08000032,"",All Cancer Types,d,4,"",4,""
57,2012Q1,S08000031,S92000003,d,All Cancer Types,d,1383,"",1351,""
58,2012Q1,S08000031,SB0801,"",All Cancer Types,d,45,"",45,""
59,2012Q1,S08000032,S08000031,"",All Cancer Types,d,94,"",90,""
60,2012Q1,S08000032,S08000032,"",All Cancer Types,d,392,"",389,""
61,2012Q1,S08000032,S92000003,d,All Cancer Types,d,502,"",495,""
62,2012Q1,S08000032,SB0801,"",All Cancer Types,d,16,"",16,""
63,2012Q1,S08000015,S08000015,"",Breast,"",78,"",78,""
64,2012Q1,S08000015,S08000017,"",Breast,"",2,"",2,""
65,2012Q1,S08000015,S08000031,"",Breast,"",8,"",8,""
66,2012Q1,S08000015,S92000003,d,Breast,"",88,"",88,""
67,2012Q1,S08000016,S08000016,"",Breast,"",16,"",16,""
68,2012Q1,S08000016,S08000024,"",Breast,"",1,"",1,""
69,2012Q1,S08000016,S92000003,d,Breast,"",17,"",17,""
70,2012Q1,S08000017,S08000017,"",Breast,"",20,"",20,""
71,2012Q1,S08000017,S08000024,"",Breast,"",3,"",3,""
72,2012Q1,S08000017,S92000003,d,Breast,"",23,"",23,""
73,2012Q1,S08000019,S08000019,"",Breast,"",41,"",40,""
74,2012Q1,S08000019,S08000031,"",Breast,"",2,"",1,""
75,2012Q1,S08000019,S92000003,d,Breast,"",43,"",41,""
76,2012Q1,S08000020,S08000020,"",Breast,"",122,"",118,""
77,2012Q1,S08000020,S92000003,d,Breast,"",122,"",118,""
78,2012Q1,S08000022,S08000022,"",Breast,"",58,"",58,""
79,2012Q1,S08000022,S08000024,"",Breast,"",1,"",1,""
80,2012Q1,S08000022,S92000003,d,Breast,"",59,"",59,""
81,2012Q1,S08000024,S08000016,"",Breast,"",4,"",4,""
82,2012Q1,S08000024,S08000019,"",Breast,"",1,"",1,""
83,2012Q1,S08000024,S08000024,"",Breast,"",210,"",210,""
84,2012Q1,S08000024,S08000029,"",Breast,"",3,"",3,""
85,2012Q1,S08000024,S92000003,d,Breast,"",218,"",218,""
86,2012Q1,S08000025,S08000020,"",Breast,"",1,"",1,""
87,2012Q1,S08000025,S92000003,d,Breast,"",1,"",1,""
88,2012Q1,S08000026,S08000020,"",Breast,"",1,"",1,""
89,2012Q1,S08000026,S08000026,"",Breast,"",1,"",1,""
90,2012Q1,S08000026,S92000003,d,Breast,"",2,"",2,""
91,2012Q1,S08000029,S08000024,"",Breast,"",2,"",2,""
92,2012Q1,S08000029,S08000029,"",Breast,"",43,"",43,""
93,2012Q1,S08000029,S92000003,d,Breast,"",45,"",45,""
94,2012Q1,S08000030,S08000030,"",Breast,"",106,"",106,""
95,2012Q1,S08000030,S92000003,d,Breast,"",106,"",106,""
96,2012Q1,S08000031,S08000031,"",Breast,"",281,"",280,""
97,2012Q1,S08000031,S08000032,"",Breast,"",4,"",4,""
98,2012Q1,S08000031,S92000003,d,Breast,"",285,"",284,""
99,2012Q1,S08000032,S08000031,"",Breast,"",2,"",2,""
100,2012Q1,S08000032,S08000032,"",Breast,"",69,"",69,""
101,2012Q1,S08000032,S92000003,d,Breast,"",71,"",71,""
102,2012Q1,S08000015,S08000015,"",Cervical,"",4,"",4,""
103,2012Q1,S08000015,S08000031,"",Cervical,"",1,"",1,""
104,2012Q1,S08000015,S92000003,d,Cervical,"",5,"",5,""
105,2012Q1,S08000016,S08000016,"",Cervical,"",1,"",1,""
106,2012Q1,S08000016,S92000003,d,Cervical,"",1,"",1,""
107,2012Q1,S08000017,S08000024,"",Cervical,"",1,"",1,""
108,2012Q1,S08000017,S92000003,d,Cervical,"",1,"",1,""
109,2012Q1,S08000019,S08000019,"",Cervical,"",1,"",1,""
110,2012Q1,S08000019,S08000031,"",Cervical,"",1,"",0,""
111,2012Q1,S08000019,S92000003,d,Cervical,"",2,"",1,""
112,2012Q1,S08000020,S08000020,"",Cervical,"",4,"",4,""
113,2012Q1,S08000020,S92000003,d,Cervical,"",4,"",4,""
114,2012Q1,S08000022,S08000022,"",Cervical,"",3,"",3,""
115,2012Q1,S08000022,S92000003,d,Cervical,"",3,"",3,""
116,2012Q1,S08000024,S08000024,"",Cervical,"",6,"",6,""
117,2012Q1,S08000024,S92000003,d,Cervical,"",6,"",6,""
118,2012Q1,S08000029,S08000024,"",Cervical,"",2,"",2,""
119,2012Q1,S08000029,S08000029,"",Cervical,"",1,"",1,""
120,2012Q1,S08000029,S92000003,d,Cervical,"",3,"",3,""
121,2012Q1,S08000030,S08000030,"",Cervical,"",4,"",4,""
122,2012Q1,S08000030,S92000003,d,Cervical,"",4,"",4,""
123,2012Q1,S08000031,S08000031,"",Cervical,"",11,"",11,""
124,2012Q1,S08000031,S92000003,d,Cervical,"",11,"",11,""
125,2012Q1,S08000032,S08000031,"",Cervical,"",6,"",6,""
126,2012Q1,S08000032,S08000032,"",Cervical,"",5,"",5,""
127,2012Q1,S08000032,S92000003,d,Cervical,"",11,"",11,""
128,2012Q1,S08000015,S08000015,"",Colorectal,"",53,"",53,""
129,2012Q1,S08000015,S08000031,"",Colorectal,"",3,"",2,""
130,2012Q1,S08000015,S92000003,d,Colorectal,"",56,"",55,""
131,2012Q1,S08000016,S08000016,"",Colorectal,"",18,"",18,""
132,2012Q1,S08000016,S08000024,"",Colorectal,"",2,"",2,""
133,2012Q1,S08000016,S92000003,d,Colorectal,"",20,"",20,""
134,2012Q1,S08000017,S08000017,"",Colorectal,"",33,"",31,""
135,2012Q1,S08000017,S08000031,"",Colorectal,"",1,"",1,""
136,2012Q1,S08000017,S92000003,d,Colorectal,"",34,"",32,""
137,2012Q1,S08000019,S08000019,"",Colorectal,"",43,"",42,""
138,2012Q1,S08000019,S08000031,"",Colorectal,"",3,"",3,""
139,2012Q1,S08000019,S92000003,d,Colorectal,"",46,"",45,""
140,2012Q1,S08000020,S08000020,"",Colorectal,"",74,"",73,""
141,2012Q1,S08000020,S92000003,d,Colorectal,"",74,"",73,""
142,2012Q1,S08000022,S08000022,"",Colorectal,"",38,"",36,""
143,2012Q1,S08000022,S92000003,d,Colorectal,"",38,"",36,""
144,2012Q1,S08000024,S08000024,"",Colorectal,"",139,"",134,""
145,2012Q1,S08000024,S92000003,d,Colorectal,"",139,"",134,""
146,2012Q1,S08000025,S08000020,"",Colorectal,"",2,"",2,""
147,2012Q1,S08000025,S08000025,"",Colorectal,"",2,"",2,""
148,2012Q1,S08000025,S92000003,d,Colorectal,"",4,"",4,""
149,2012Q1,S08000026,S08000020,"",Colorectal,"",2,"",2,""
150,2012Q1,S08000026,S08000026,"",Colorectal,"",5,"",5,""
151,2012Q1,S08000026,S92000003,d,Colorectal,"",7,"",7,""
152,2012Q1,S08000028,S08000022,"",Colorectal,"",2,"",2,""
153,2012Q1,S08000028,S08000028,"",Colorectal,"",5,"",5,""
154,2012Q1,S08000028,S92000003,d,Colorectal,"",7,"",7,""
155,2012Q1,S08000029,S08000024,"",Colorectal,"",4,"",4,""
156,2012Q1,S08000029,S08000029,"",Colorectal,"",42,"",42,""
157,2012Q1,S08000029,S92000003,d,Colorectal,"",46,"",46,""
158,2012Q1,S08000030,S08000030,"",Colorectal,"",77,"",75,""
159,2012Q1,S08000030,S92000003,d,Colorectal,"",77,"",75,""
160,2012Q1,S08000031,S08000022,"",Colorectal,"",2,"",2,""
161,2012Q1,S08000031,S08000031,"",Colorectal,"",182,"",172,""
162,2012Q1,S08000031,S92000003,d,Colorectal,"",184,"",174,""
163,2012Q1,S08000032,S08000031,"",Colorectal,"",11,"",10,""
164,2012Q1,S08000032,S08000032,"",Colorectal,"",68,"",68,""
165,2012Q1,S08000032,S92000003,d,Colorectal,"",79,"",78,""
166,2012Q1,S08000015,S08000015,"",Head & Neck,"",11,"",11,""
167,2012Q1,S08000015,S08000031,"",Head & Neck,"",6,"",5,""
168,2012Q1,S08000015,S92000003,d,Head & Neck,"",17,"",16,""
169,2012Q1,S08000016,S08000016,"",Head & Neck,"",2,"",2,""
170,2012Q1,S08000016,S08000024,"",Head & Neck,"",2,"",2,""
171,2012Q1,S08000016,S92000003,d,Head & Neck,"",4,"",4,""
172,2012Q1,S08000017,S08000017,"",Head & Neck,"",3,"",3,""
173,2012Q1,S08000017,S08000024,"",Head & Neck,"",3,"",3,""
174,2012Q1,S08000017,S08000031,"",Head & Neck,"",2,"",2,""
175,2012Q1,S08000017,S92000003,d,Head & Neck,"",8,"",8,""
176,2012Q1,S08000019,S08000019,"",Head & Neck,"",3,"",3,""
177,2012Q1,S08000019,S08000031,"",Head & Neck,"",7,"",7,""
178,2012Q1,S08000019,S92000003,d,Head & Neck,"",10,"",10,""
179,2012Q1,S08000020,S08000020,"",Head & Neck,"",23,"",23,""
180,2012Q1,S08000020,S92000003,d,Head & Neck,"",23,"",23,""
181,2012Q1,S08000022,S08000020,"",Head & Neck,"",1,"",1,""
182,2012Q1,S08000022,S08000022,"",Head & Neck,"",13,"",12,""
183,2012Q1,S08000022,S92000003,d,Head & Neck,"",14,"",13,""
184,2012Q1,S08000024,S08000024,"",Head & Neck,"",41,"",41,""
185,2012Q1,S08000024,S92000003,d,Head & Neck,"",41,"",41,""
186,2012Q1,S08000025,S08000020,"",Head & Neck,"",1,"",1,""
187,2012Q1,S08000025,S92000003,d,Head & Neck,"",1,"",1,""
188,2012Q1,S08000026,S08000020,"",Head & Neck,"",1,"",1,""
189,2012Q1,S08000026,S92000003,d,Head & Neck,"",1,"",1,""
190,2012Q1,S08000028,S08000022,"",Head & Neck,"",1,"",1,""
191,2012Q1,S08000028,S08000028,"",Head & Neck,"",3,"",3,""
192,2012Q1,S08000028,S92000003,d,Head & Neck,"",4,"",4,""
193,2012Q1,S08000029,S08000024,"",Head & Neck,"",20,"",19,""
194,2012Q1,S08000029,S08000029,"",Head & Neck,"",4,"",4,""
195,2012Q1,S08000029,S92000003,d,Head & Neck,"",24,"",23,""
196,2012Q1,S08000030,S08000030,"",Head & Neck,"",21,"",21,""
197,2012Q1,S08000030,S92000003,d,Head & Neck,"",21,"",21,""
198,2012Q1,S08000031,S08000031,"",Head & Neck,"",73,"",69,""
199,2012Q1,S08000031,S92000003,d,Head & Neck,"",73,"",69,""
200,2012Q1,S08000032,S08000031,"",Head & Neck,"",6,"",6,""
201,2012Q1,S08000032,S08000032,"",Head & Neck,"",13,"",13,""
202,2012Q1,S08000032,S92000003,d,Head & Neck,"",19,"",19,""
203,2012Q1,S08000015,S08000015,"",Lung,"",52,"",52,""
204,2012Q1,S08000015,S08000020,"",Lung,"",1,"",1,""
205,2012Q1,S08000015,S08000031,"",Lung,"",15,"",15,""
206,2012Q1,S08000015,S92000003,d,Lung,"",74,"",74,""
207,2012Q1,S08000015,SB0801,"",Lung,"",6,"",6,""
208,2012Q1,S08000016,S08000016,"",Lung,"",19,"",19,""
209,2012Q1,S08000016,S08000024,"",Lung,"",6,"",6,""
210,2012Q1,S08000016,S92000003,d,Lung,"",25,"",25,""
211,2012Q1,S08000017,S08000017,"",Lung,"",17,"",17,""
212,2012Q1,S08000017,S08000024,"",Lung,"",3,"",3,""
213,2012Q1,S08000017,S92000003,d,Lung,"",22,"",22,""
214,2012Q1,S08000017,SB0801,"",Lung,"",2,"",2,""
215,2012Q1,S08000019,S08000019,"",Lung,"",27,"",27,""
216,2012Q1,S08000019,S08000024,"",Lung,"",1,"",1,""
217,2012Q1,S08000019,S08000031,"",Lung,"",22,"",21,""
218,2012Q1,S08000019,S92000003,d,Lung,"",56,"",55,""
219,2012Q1,S08000019,SB0801,"",Lung,"",6,"",6,""
220,2012Q1,S08000020,S08000020,"",Lung,"",68,"",68,""
221,2012Q1,S08000020,S92000003,d,Lung,"",68,"",68,""
222,2012Q1,S08000022,S08000022,"",Lung,"",43,"",43,""
223,2012Q1,S08000022,S08000031,"",Lung,"",4,"",4,""
224,2012Q1,S08000022,S92000003,d,Lung,"",48,"",48,""
225,2012Q1,S08000022,SB0801,"",Lung,"",1,"",1,""
226,2012Q1,S08000024,S08000024,"",Lung,"",175,"",175,""
227,2012Q1,S08000024,S92000003,d,Lung,"",175,"",175,""
228,2012Q1,S08000026,S08000020,"",Lung,"",2,"",2,""
229,2012Q1,S08000026,S08000026,"",Lung,"",3,"",3,""
230,2012Q1,S08000026,S92000003,d,Lung,"",5,"",5,""
231,2012Q1,S08000028,S08000028,"",Lung,"",5,"",5,""
232,2012Q1,S08000028,S92000003,d,Lung,"",7,"",7,""
233,2012Q1,S08000028,SB0801,"",Lung,"",2,"",2,""
234,2012Q1,S08000029,S08000024,"",Lung,"",23,"",22,""
235,2012Q1,S08000029,S08000029,"",Lung,"",52,"",52,""
236,2012Q1,S08000029,S08000030,"",Lung,"",4,"",3,""
237,2012Q1,S08000029,S92000003,d,Lung,"",79,"",77,""
238,2012Q1,S08000030,S08000020,"",Lung,"",1,"",1,""
239,2012Q1,S08000030,S08000024,"",Lung,"",6,"",6,""
240,2012Q1,S08000030,S08000030,"",Lung,"",51,"",51,""
241,2012Q1,S08000030,S92000003,d,Lung,"",58,"",58,""
242,2012Q1,S08000031,S08000031,"",Lung,"",220,"",215,""
243,2012Q1,S08000031,S92000003,d,Lung,"",265,"",260,""
244,2012Q1,S08000031,SB0801,"",Lung,"",45,"",45,""
245,2012Q1,S08000032,S08000031,"",Lung,"",38,"",36,""
246,2012Q1,S08000032,S08000032,"",Lung,"",61,"",61,""
247,2012Q1,S08000032,S92000003,d,Lung,"",115,"",113,""
248,2012Q1,S08000032,SB0801,"",Lung,"",16,"",16,""
249,2012Q1,S08000015,S08000015,"",Lymphoma,"",25,"",25,""
250,2012Q1,S08000015,S92000003,d,Lymphoma,"",25,"",25,""
251,2012Q1,S08000016,S08000016,"",Lymphoma,"",7,"",7,""
252,2012Q1,S08000016,S92000003,d,Lymphoma,"",7,"",7,""
253,2012Q1,S08000017,S08000017,"",Lymphoma,"",10,"",10,""
254,2012Q1,S08000017,S92000003,d,Lymphoma,"",10,"",10,""
255,2012Q1,S08000019,S08000019,"",Lymphoma,"",12,"",12,""
256,2012Q1,S08000019,S92000003,d,Lymphoma,"",12,"",12,""
257,2012Q1,S08000020,S08000020,"",Lymphoma,"",6,"",6,""
258,2012Q1,S08000020,S92000003,d,Lymphoma,"",6,"",6,""
259,2012Q1,S08000022,S08000022,"",Lymphoma,"",15,"",15,""
260,2012Q1,S08000022,S92000003,d,Lymphoma,"",15,"",15,""
261,2012Q1,S08000024,S08000024,"",Lymphoma,"",34,"",34,""
262,2012Q1,S08000024,S92000003,d,Lymphoma,"",34,"",34,""
263,2012Q1,S08000026,S08000020,"",Lymphoma,"",2,"",2,""
264,2012Q1,S08000026,S08000026,"",Lymphoma,"",1,"",1,""
265,2012Q1,S08000026,S92000003,d,Lymphoma,"",3,"",3,""
266,2012Q1,S08000029,S08000024,"",Lymphoma,"",3,"",3,""
267,2012Q1,S08000029,S08000029,"",Lymphoma,"",10,"",10,""
268,2012Q1,S08000029,S92000003,d,Lymphoma,"",13,"",13,""
269,2012Q1,S08000030,S08000030,"",Lymphoma,"",26,"",26,""
270,2012Q1,S08000030,S92000003,d,Lymphoma,"",26,"",26,""
271,2012Q1,S08000031,S08000031,"",Lymphoma,"",43,"",43,""
272,2012Q1,S08000031,S92000003,d,Lymphoma,"",43,"",43,""
273,2012Q1,S08000032,S08000031,"",Lymphoma,"",1,"",0,""
274,2012Q1,S08000032,S08000032,"",Lymphoma,"",26,"",26,""
275,2012Q1,S08000032,S92000003,d,Lymphoma,"",27,"",26,""
276,2012Q1,S08000015,S08000015,"",Melanoma,"",15,"",15,""
277,2012Q1,S08000015,S08000031,"",Melanoma,"",2,"",2,""
278,2012Q1,S08000015,S92000003,d,Melanoma,"",17,"",17,""
279,2012Q1,S08000016,S08000016,"",Melanoma,"",3,"",3,""
280,2012Q1,S08000016,S08000024,"",Melanoma,"",1,"",1,""
281,2012Q1,S08000016,S92000003,d,Melanoma,"",4,"",4,""
282,2012Q1,S08000017,S08000017,"",Melanoma,"",4,"",4,""
283,2012Q1,S08000017,S08000024,"",Melanoma,"",1,"",1,""
284,2012Q1,S08000017,S92000003,d,Melanoma,"",5,"",5,""
285,2012Q1,S08000019,S08000019,"",Melanoma,"",9,"",9,""
286,2012Q1,S08000019,S92000003,d,Melanoma,"",9,"",9,""
287,2012Q1,S08000020,S08000020,"",Melanoma,"",26,"",26,""
288,2012Q1,S08000020,S92000003,d,Melanoma,"",26,"",26,""
289,2012Q1,S08000022,S08000022,"",Melanoma,"",14,"",14,""
290,2012Q1,S08000022,S08000024,"",Melanoma,"",1,"",1,""
291,2012Q1,S08000022,S92000003,d,Melanoma,"",15,"",15,""
292,2012Q1,S08000024,S08000024,"",Melanoma,"",50,"",50,""
293,2012Q1,S08000024,S92000003,d,Melanoma,"",50,"",50,""
294,2012Q1,S08000026,S08000026,"",Melanoma,"",1,"",1,""
295,2012Q1,S08000026,S92000003,d,Melanoma,"",1,"",1,""
296,2012Q1,S08000028,S08000028,"",Melanoma,"",1,"",1,""
297,2012Q1,S08000028,S92000003,d,Melanoma,"",1,"",1,""
298,2012Q1,S08000029,S08000029,"",Melanoma,"",9,"",9,""
299,2012Q1,S08000029,S92000003,d,Melanoma,"",9,"",9,""
300,2012Q1,S08000030,S08000030,"",Melanoma,"",31,"",30,""
301,2012Q1,S08000030,S92000003,d,Melanoma,"",31,"",30,""
302,2012Q1,S08000031,S08000031,"",Melanoma,"",75,"",75,""
303,2012Q1,S08000031,S92000003,d,Melanoma,"",75,"",75,""
304,2012Q1,S08000032,S08000031,"",Melanoma,"",5,"",5,""
305,2012Q1,S08000032,S08000032,"",Melanoma,"",25,"",25,""
306,2012Q1,S08000032,S92000003,d,Melanoma,"",30,"",30,""
307,2012Q1,S08000015,S08000015,"",Ovarian,"",6,"",6,""
308,2012Q1,S08000015,S08000031,"",Ovarian,"",6,"",6,""
309,2012Q1,S08000015,S92000003,d,Ovarian,"",12,"",12,""
310,2012Q1,S08000016,S08000016,"",Ovarian,"",3,"",3,""
311,2012Q1,S08000016,S08000024,"",Ovarian,"",1,"",1,""
312,2012Q1,S08000016,S92000003,d,Ovarian,"",4,"",4,""
313,2012Q1,S08000017,S08000017,"",Ovarian,"",4,"",4,""
314,2012Q1,S08000017,S08000024,"",Ovarian,"",1,"",1,""
315,2012Q1,S08000017,S92000003,d,Ovarian,"",5,"",5,""
316,2012Q1,S08000019,S08000019,"",Ovarian,"",6,"",6,""
317,2012Q1,S08000019,S08000031,"",Ovarian,"",3,"",3,""
318,2012Q1,S08000019,S92000003,d,Ovarian,"",9,"",9,""
319,2012Q1,S08000020,S08000020,"",Ovarian,"",9,"",9,""
320,2012Q1,S08000020,S92000003,d,Ovarian,"",9,"",9,""
321,2012Q1,S08000022,S08000020,"",Ovarian,"",1,"",1,""
322,2012Q1,S08000022,S08000022,"",Ovarian,"",4,"",4,""
323,2012Q1,S08000022,S92000003,d,Ovarian,"",5,"",5,""
324,2012Q1,S08000024,S08000024,"",Ovarian,"",21,"",19,""
325,2012Q1,S08000024,S92000003,d,Ovarian,"",21,"",19,""
326,2012Q1,S08000029,S08000024,"",Ovarian,"",2,"",2,""
327,2012Q1,S08000029,S08000029,"",Ovarian,"",4,"",3,""
328,2012Q1,S08000029,S92000003,d,Ovarian,"",6,"",5,""
329,2012Q1,S08000030,S08000030,"",Ovarian,"",12,"",12,""
330,2012Q1,S08000030,S92000003,d,Ovarian,"",12,"",12,""
331,2012Q1,S08000031,S08000031,"",Ovarian,"",16,"",16,""
332,2012Q1,S08000031,S92000003,d,Ovarian,"",16,"",16,""
333,2012Q1,S08000032,S08000031,"",Ovarian,"",6,"",6,""
334,2012Q1,S08000032,S08000032,"",Ovarian,"",5,"",5,""
335,2012Q1,S08000032,S92000003,d,Ovarian,"",11,"",11,""
336,2012Q1,S08000015,S08000015,"",Upper GI,"",26,"",26,""
337,2012Q1,S08000015,S08000031,"",Upper GI,"",16,"",16,""
338,2012Q1,S08000015,S92000003,d,Upper GI,"",42,"",42,""
339,2012Q1,S08000016,S08000016,"",Upper GI,"",10,"",10,""
340,2012Q1,S08000016,S08000024,"",Upper GI,"",2,"",2,""
341,2012Q1,S08000016,S92000003,d,Upper GI,"",12,"",12,""
342,2012Q1,S08000017,S08000017,"",Upper GI,"",18,"",18,""
343,2012Q1,S08000017,S08000024,"",Upper GI,"",5,"",5,""
344,2012Q1,S08000017,S92000003,d,Upper GI,"",23,"",23,""
345,2012Q1,S08000019,S08000019,"",Upper GI,"",20,"",20,""
346,2012Q1,S08000019,S08000031,"",Upper GI,"",8,"",8,""
347,2012Q1,S08000019,S92000003,d,Upper GI,"",28,"",28,""
348,2012Q1,S08000020,S08000020,"",Upper GI,"",55,"",54,""
349,2012Q1,S08000020,S92000003,d,Upper GI,"",55,"",54,""
350,2012Q1,S08000022,S08000022,"",Upper GI,"",34,"",34,""
351,2012Q1,S08000022,S08000031,"",Upper GI,"",3,"",3,""
352,2012Q1,S08000022,S92000003,d,Upper GI,"",37,"",37,""
353,2012Q1,S08000024,S08000024,"",Upper GI,"",51,"",51,""
354,2012Q1,S08000024,S92000003,d,Upper GI,"",51,"",51,""
355,2012Q1,S08000025,S08000020,"",Upper GI,"",2,"",2,""
356,2012Q1,S08000025,S92000003,d,Upper GI,"",2,"",2,""
357,2012Q1,S08000026,S08000020,"",Upper GI,"",1,"",1,""
358,2012Q1,S08000026,S08000026,"",Upper GI,"",1,"",1,""
359,2012Q1,S08000026,S92000003,d,Upper GI,"",2,"",2,""
360,2012Q1,S08000028,S08000022,"",Upper GI,"",1,"",1,""
361,2012Q1,S08000028,S08000028,"",Upper GI,"",2,"",2,""
362,2012Q1,S08000028,S92000003,d,Upper GI,"",4,"",4,""
363,2012Q1,S08000028,SB0801,"",Upper GI,"",1,"",1,""
364,2012Q1,S08000029,S08000024,"",Upper GI,"",7,"",7,""
365,2012Q1,S08000029,S08000029,"",Upper GI,"",23,"",23,""
366,2012Q1,S08000029,S08000030,"",Upper GI,"",1,"",1,""
367,2012Q1,S08000029,S92000003,d,Upper GI,"",31,"",31,""
368,2012Q1,S08000030,S08000030,"",Upper GI,"",42,"",42,""
369,2012Q1,S08000030,S92000003,d,Upper GI,"",42,"",42,""
370,2012Q1,S08000031,S08000024,"",Upper GI,"",1,"",1,""
371,2012Q1,S08000031,S08000031,"",Upper GI,"",168,"",165,""
372,2012Q1,S08000031,S92000003,d,Upper GI,"",169,"",166,""
373,2012Q1,S08000032,S08000031,"",Upper GI,"",15,"",15,""
374,2012Q1,S08000032,S08000032,"",Upper GI,"",36,"",36,""
375,2012Q1,S08000032,S92000003,d,Upper GI,"",51,"",51,""
376,2012Q1,S08000015,S08000015,"",Urological,"",65,"",63,""
377,2012Q1,S08000015,S08000031,"",Urological,"",1,"",1,""
378,2012Q1,S08000015,S92000003,d,Urological,"",66,"",64,""
379,2012Q1,S08000016,S08000016,"",Urological,"",21,"",21,""
380,2012Q1,S08000016,S08000024,"",Urological,"",3,"",3,""
381,2012Q1,S08000016,S92000003,d,Urological,"",24,"",24,""
382,2012Q1,S08000017,S08000017,"",Urological,"",29,"",29,""
