MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
201607,S12000011,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000011,,18-74,,All Delay Reasons,d,15,0
201607,S12000011,,18-74,,Health and Social Care Reasons,,14,0
201607,S12000011,,18-74,,Patient and Family Related Reasons,,1,0
201607,S12000011,,18-74,,Code 9 AWI,,0,0
201607,S12000011,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000011,,75plus,,All Delay Reasons,d,90,3
201607,S12000011,,75plus,,Health and Social Care Reasons,,59,2
201607,S12000011,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000011,,75plus,,Code 9 AWI,,31,1
201607,S12000011,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000013,,18plus,d,All Delay Reasons,d,721,23
201607,S12000013,,18plus,d,Health and Social Care Reasons,,167,5
201607,S12000013,,18plus,d,Patient and Family Related Reasons,,24,1
201607,S12000013,,18plus,d,Code 9 AWI,,62,2
201607,S12000013,,18plus,d,Code 9 Non-AWI,,468,15
201607,S12000013,,18-74,,All Delay Reasons,d,93,3
201607,S12000013,,18-74,,Health and Social Care Reasons,,62,2
201607,S12000013,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000013,,18-74,,Code 9 AWI,,0,0
201607,S12000013,,18-74,,Code 9 Non-AWI,,31,1
201607,S12000013,,75plus,,All Delay Reasons,d,628,20
201607,S12000013,,75plus,,Health and Social Care Reasons,,105,3
201607,S12000013,,75plus,,Patient and Family Related Reasons,,24,1
201607,S12000013,,75plus,,Code 9 AWI,,62,2
201607,S12000013,,75plus,,Code 9 Non-AWI,,437,14
201607,S12000014,,18plus,d,All Delay Reasons,d,1525,49
201607,S12000014,,18plus,d,Health and Social Care Reasons,,1090,35
201607,S12000014,,18plus,d,Patient and Family Related Reasons,,179,6
201607,S12000014,,18plus,d,Code 9 AWI,,194,6
201607,S12000014,,18plus,d,Code 9 Non-AWI,,62,2
201607,S12000014,,18-74,,All Delay Reasons,d,495,16
201607,S12000014,,18-74,,Health and Social Care Reasons,,402,13
201607,S12000014,,18-74,,Patient and Family Related Reasons,,31,1
201607,S12000014,,18-74,,Code 9 AWI,,31,1
201607,S12000014,,18-74,,Code 9 Non-AWI,,31,1
201607,S12000014,,75plus,,All Delay Reasons,d,1030,33
201607,S12000014,,75plus,,Health and Social Care Reasons,,688,22
201607,S12000014,,75plus,,Patient and Family Related Reasons,,148,5
201607,S12000014,,75plus,,Code 9 AWI,,163,5
201607,S12000014,,75plus,,Code 9 Non-AWI,,31,1
201607,S12000017,,18plus,d,All Delay Reasons,d,3812,123
201607,S12000017,,18plus,d,Health and Social Care Reasons,,2165,70
201607,S12000017,,18plus,d,Patient and Family Related Reasons,,477,15
201607,S12000017,,18plus,d,Code 9 AWI,,444,14
201607,S12000017,,18plus,d,Code 9 Non-AWI,,726,23
201607,S12000017,,18-74,,All Delay Reasons,d,869,28
201607,S12000017,,18-74,,Health and Social Care Reasons,,507,16
201607,S12000017,,18-74,,Patient and Family Related Reasons,,12,0
201607,S12000017,,18-74,,Code 9 AWI,,31,1
201607,S12000017,,18-74,,Code 9 Non-AWI,,319,10
201607,S12000017,,75plus,,All Delay Reasons,d,2943,95
201607,S12000017,,75plus,,Health and Social Care Reasons,,1658,53
201607,S12000017,,75plus,,Patient and Family Related Reasons,,465,15
201607,S12000017,,75plus,,Code 9 AWI,,413,13
201607,S12000017,,75plus,,Code 9 Non-AWI,,407,13
201607,S12000018,,18plus,d,All Delay Reasons,d,304,10
201607,S12000018,,18plus,d,Health and Social Care Reasons,,242,8
201607,S12000018,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000018,,18plus,d,Code 9 AWI,,0,0
201607,S12000018,,18plus,d,Code 9 Non-AWI,,62,2
201607,S12000018,,18-74,,All Delay Reasons,d,95,3
201607,S12000018,,18-74,,Health and Social Care Reasons,,33,1
201607,S12000018,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000018,,18-74,,Code 9 AWI,,0,0
201607,S12000018,,18-74,,Code 9 Non-AWI,,62,2
201607,S12000018,,75plus,,All Delay Reasons,d,209,7
201607,S12000018,,75plus,,Health and Social Care Reasons,,209,7
201607,S12000018,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000018,,75plus,,Code 9 AWI,,0,0
201607,S12000018,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000019,,18plus,d,All Delay Reasons,d,957,31
201607,S12000019,,18plus,d,Health and Social Care Reasons,,740,24
201607,S12000019,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000019,,18plus,d,Code 9 AWI,,124,4
201607,S12000019,,18plus,d,Code 9 Non-AWI,,93,3
201607,S12000019,,18-74,,All Delay Reasons,d,317,10
201607,S12000019,,18-74,,Health and Social Care Reasons,,224,7
201607,S12000019,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000019,,18-74,,Code 9 AWI,,62,2
201607,S12000019,,18-74,,Code 9 Non-AWI,,31,1
201607,S12000019,,75plus,,All Delay Reasons,d,640,21
201607,S12000019,,75plus,,Health and Social Care Reasons,,516,17
201607,S12000019,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000019,,75plus,,Code 9 AWI,,62,2
201607,S12000019,,75plus,,Code 9 Non-AWI,,62,2
201607,S12000020,,18plus,d,All Delay Reasons,d,1056,34
201607,S12000020,,18plus,d,Health and Social Care Reasons,,777,25
201607,S12000020,,18plus,d,Patient and Family Related Reasons,,11,0
201607,S12000020,,18plus,d,Code 9 AWI,,262,8
201607,S12000020,,18plus,d,Code 9 Non-AWI,,6,0
201607,S12000020,,18-74,,All Delay Reasons,d,292,9
201607,S12000020,,18-74,,Health and Social Care Reasons,,272,9
201607,S12000020,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000020,,18-74,,Code 9 AWI,,14,0
201607,S12000020,,18-74,,Code 9 Non-AWI,,6,0
201607,S12000020,,75plus,,All Delay Reasons,d,764,25
201607,S12000020,,75plus,,Health and Social Care Reasons,,505,16
201607,S12000020,,75plus,,Patient and Family Related Reasons,,11,0
201607,S12000020,,75plus,,Code 9 AWI,,248,8
201607,S12000020,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000021,,18plus,d,All Delay Reasons,d,531,17
201607,S12000021,,18plus,d,Health and Social Care Reasons,,411,13
201607,S12000021,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000021,,18plus,d,Code 9 AWI,,120,4
201607,S12000021,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000021,,18-74,,All Delay Reasons,d,69,2
201607,S12000021,,18-74,,Health and Social Care Reasons,,69,2
201607,S12000021,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000021,,18-74,,Code 9 AWI,,0,0
201607,S12000021,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000021,,75plus,,All Delay Reasons,d,462,15
201607,S12000021,,75plus,,Health and Social Care Reasons,,342,11
201607,S12000021,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000021,,75plus,,Code 9 AWI,,120,4
201607,S12000021,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000023,,18plus,d,All Delay Reasons,d,209,7
201607,S12000023,,18plus,d,Health and Social Care Reasons,,113,4
201607,S12000023,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000023,,18plus,d,Code 9 AWI,,96,3
201607,S12000023,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000023,,18-74,,All Delay Reasons,d,82,3
201607,S12000023,,18-74,,Health and Social Care Reasons,,51,2
201607,S12000023,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000023,,18-74,,Code 9 AWI,,31,1
201607,S12000023,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000023,,75plus,,All Delay Reasons,d,127,4
201607,S12000023,,75plus,,Health and Social Care Reasons,,62,2
201607,S12000023,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000023,,75plus,,Code 9 AWI,,65,2
201607,S12000023,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000026,,18plus,d,All Delay Reasons,d,862,28
201607,S12000026,,18plus,d,Health and Social Care Reasons,,620,20
201607,S12000026,,18plus,d,Patient and Family Related Reasons,,90,3
201607,S12000026,,18plus,d,Code 9 AWI,,75,2
201607,S12000026,,18plus,d,Code 9 Non-AWI,,77,2
201607,S12000026,,18-74,,All Delay Reasons,d,227,7
201607,S12000026,,18-74,,Health and Social Care Reasons,,139,4
201607,S12000026,,18-74,,Patient and Family Related Reasons,,25,1
201607,S12000026,,18-74,,Code 9 AWI,,0,0
201607,S12000026,,18-74,,Code 9 Non-AWI,,63,2
201607,S12000026,,75plus,,All Delay Reasons,d,635,20
201607,S12000026,,75plus,,Health and Social Care Reasons,,481,16
201607,S12000026,,75plus,,Patient and Family Related Reasons,,65,2
201607,S12000026,,75plus,,Code 9 AWI,,75,2
201607,S12000026,,75plus,,Code 9 Non-AWI,,14,0
201607,S12000027,,18plus,d,All Delay Reasons,d,196,6
201607,S12000027,,18plus,d,Health and Social Care Reasons,,196,6
201607,S12000027,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000027,,18plus,d,Code 9 AWI,,0,0
201607,S12000027,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000027,,18-74,,All Delay Reasons,d,34,1
201607,S12000027,,18-74,,Health and Social Care Reasons,,34,1
201607,S12000027,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000027,,18-74,,Code 9 AWI,,0,0
201607,S12000027,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000027,,75plus,,All Delay Reasons,d,162,5
201607,S12000027,,75plus,,Health and Social Care Reasons,,162,5
201607,S12000027,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000027,,75plus,,Code 9 AWI,,0,0
201607,S12000027,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000028,,18plus,d,All Delay Reasons,d,1629,53
201607,S12000028,,18plus,d,Health and Social Care Reasons,,1505,49
201607,S12000028,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000028,,18plus,d,Code 9 AWI,,124,4
201607,S12000028,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000028,,18-74,,All Delay Reasons,d,232,7
201607,S12000028,,18-74,,Health and Social Care Reasons,,170,5
201607,S12000028,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000028,,18-74,,Code 9 AWI,,62,2
201607,S12000028,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000028,,75plus,,All Delay Reasons,d,1397,45
201607,S12000028,,75plus,,Health and Social Care Reasons,,1335,43
201607,S12000028,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000028,,75plus,,Code 9 AWI,,62,2
201607,S12000028,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000029,,18plus,d,All Delay Reasons,d,3556,115
201607,S12000029,,18plus,d,Health and Social Care Reasons,,2811,91
201607,S12000029,,18plus,d,Patient and Family Related Reasons,,345,11
201607,S12000029,,18plus,d,Code 9 AWI,,338,11
201607,S12000029,,18plus,d,Code 9 Non-AWI,,62,2
201607,S12000029,,18-74,,All Delay Reasons,d,667,22
201607,S12000029,,18-74,,Health and Social Care Reasons,,554,18
201607,S12000029,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000029,,18-74,,Code 9 AWI,,82,3
201607,S12000029,,18-74,,Code 9 Non-AWI,,31,1
201607,S12000029,,75plus,,All Delay Reasons,d,2889,93
201607,S12000029,,75plus,,Health and Social Care Reasons,,2257,73
201607,S12000029,,75plus,,Patient and Family Related Reasons,,345,11
201607,S12000029,,75plus,,Code 9 AWI,,256,8
201607,S12000029,,75plus,,Code 9 Non-AWI,,31,1
201607,S12000030,,18plus,d,All Delay Reasons,d,712,23
201607,S12000030,,18plus,d,Health and Social Care Reasons,,499,16
201607,S12000030,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000030,,18plus,d,Code 9 AWI,,146,5
201607,S12000030,,18plus,d,Code 9 Non-AWI,,67,2
201607,S12000030,,18-74,,All Delay Reasons,d,293,9
201607,S12000030,,18-74,,Health and Social Care Reasons,,200,6
201607,S12000030,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000030,,18-74,,Code 9 AWI,,31,1
201607,S12000030,,18-74,,Code 9 Non-AWI,,62,2
201607,S12000030,,75plus,,All Delay Reasons,d,419,14
201607,S12000030,,75plus,,Health and Social Care Reasons,,299,10
201607,S12000030,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000030,,75plus,,Code 9 AWI,,115,4
201607,S12000030,,75plus,,Code 9 Non-AWI,,5,0
201607,S12000033,,18plus,d,All Delay Reasons,d,2557,82
201607,S12000033,,18plus,d,Health and Social Care Reasons,,2164,70
201607,S12000033,,18plus,d,Patient and Family Related Reasons,,11,0
201607,S12000033,,18plus,d,Code 9 AWI,,248,8
201607,S12000033,,18plus,d,Code 9 Non-AWI,,134,4
201607,S12000033,,18-74,,All Delay Reasons,d,759,24
201607,S12000033,,18-74,,Health and Social Care Reasons,,529,17
201607,S12000033,,18-74,,Patient and Family Related Reasons,,11,0
201607,S12000033,,18-74,,Code 9 AWI,,124,4
201607,S12000033,,18-74,,Code 9 Non-AWI,,95,3
201607,S12000033,,75plus,,All Delay Reasons,d,1798,58
201607,S12000033,,75plus,,Health and Social Care Reasons,,1635,53
201607,S12000033,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000033,,75plus,,Code 9 AWI,,124,4
201607,S12000033,,75plus,,Code 9 Non-AWI,,39,1
201607,S12000034,,18plus,d,All Delay Reasons,d,1463,47
201607,S12000034,,18plus,d,Health and Social Care Reasons,,1066,34
201607,S12000034,,18plus,d,Patient and Family Related Reasons,,72,2
201607,S12000034,,18plus,d,Code 9 AWI,,220,7
201607,S12000034,,18plus,d,Code 9 Non-AWI,,105,3
201607,S12000034,,18-74,,All Delay Reasons,d,378,12
201607,S12000034,,18-74,,Health and Social Care Reasons,,213,7
201607,S12000034,,18-74,,Patient and Family Related Reasons,,29,1
201607,S12000034,,18-74,,Code 9 AWI,,62,2
201607,S12000034,,18-74,,Code 9 Non-AWI,,74,2
201607,S12000034,,75plus,,All Delay Reasons,d,1085,35
201607,S12000034,,75plus,,Health and Social Care Reasons,,853,28
201607,S12000034,,75plus,,Patient and Family Related Reasons,,43,1
201607,S12000034,,75plus,,Code 9 AWI,,158,5
201607,S12000034,,75plus,,Code 9 Non-AWI,,31,1
201607,S12000035,,18plus,d,All Delay Reasons,d,512,17
201607,S12000035,,18plus,d,Health and Social Care Reasons,,419,14
201607,S12000035,,18plus,d,Patient and Family Related Reasons,,62,2
201607,S12000035,,18plus,d,Code 9 AWI,,31,1
201607,S12000035,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000035,,18-74,,All Delay Reasons,d,127,4
201607,S12000035,,18-74,,Health and Social Care Reasons,,122,4
201607,S12000035,,18-74,,Patient and Family Related Reasons,,5,0
201607,S12000035,,18-74,,Code 9 AWI,,0,0
201607,S12000035,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000035,,75plus,,All Delay Reasons,d,385,12
201607,S12000035,,75plus,,Health and Social Care Reasons,,297,10
201607,S12000035,,75plus,,Patient and Family Related Reasons,,57,2
201607,S12000035,,75plus,,Code 9 AWI,,31,1
201607,S12000035,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000036,,18plus,d,All Delay Reasons,d,5875,190
201607,S12000036,,18plus,d,Health and Social Care Reasons,,5081,164
201607,S12000036,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000036,,18plus,d,Code 9 AWI,,705,23
201607,S12000036,,18plus,d,Code 9 Non-AWI,,89,3
201607,S12000036,,18-74,,All Delay Reasons,d,1862,60
201607,S12000036,,18-74,,Health and Social Care Reasons,,1562,50
201607,S12000036,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000036,,18-74,,Code 9 AWI,,230,7
201607,S12000036,,18-74,,Code 9 Non-AWI,,70,2
201607,S12000036,,75plus,,All Delay Reasons,d,4013,129
201607,S12000036,,75plus,,Health and Social Care Reasons,,3519,114
201607,S12000036,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000036,,75plus,,Code 9 AWI,,475,15
201607,S12000036,,75plus,,Code 9 Non-AWI,,19,1
201607,S12000038,,18plus,d,All Delay Reasons,d,215,7
201607,S12000038,,18plus,d,Health and Social Care Reasons,,138,4
201607,S12000038,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000038,,18plus,d,Code 9 AWI,,21,1
201607,S12000038,,18plus,d,Code 9 Non-AWI,,56,2
201607,S12000038,,18-74,,All Delay Reasons,d,97,3
201607,S12000038,,18-74,,Health and Social Care Reasons,,30,1
201607,S12000038,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000038,,18-74,,Code 9 AWI,,11,0
201607,S12000038,,18-74,,Code 9 Non-AWI,,56,2
201607,S12000038,,75plus,,All Delay Reasons,d,118,4
201607,S12000038,,75plus,,Health and Social Care Reasons,,108,3
201607,S12000038,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000038,,75plus,,Code 9 AWI,,10,0
201607,S12000038,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000039,,18plus,d,All Delay Reasons,d,275,9
201607,S12000039,,18plus,d,Health and Social Care Reasons,,151,5
201607,S12000039,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000039,,18plus,d,Code 9 AWI,,62,2
201607,S12000039,,18plus,d,Code 9 Non-AWI,,62,2
201607,S12000039,,18-74,,All Delay Reasons,d,167,5
201607,S12000039,,18-74,,Health and Social Care Reasons,,56,2
201607,S12000039,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000039,,18-74,,Code 9 AWI,,49,2
201607,S12000039,,18-74,,Code 9 Non-AWI,,62,2
201607,S12000039,,75plus,,All Delay Reasons,d,108,3
201607,S12000039,,75plus,,Health and Social Care Reasons,,95,3
201607,S12000039,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000039,,75plus,,Code 9 AWI,,13,0
201607,S12000039,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000040,,18plus,d,All Delay Reasons,d,1237,40
201607,S12000040,,18plus,d,Health and Social Care Reasons,,1058,34
201607,S12000040,,18plus,d,Patient and Family Related Reasons,,52,2
201607,S12000040,,18plus,d,Code 9 AWI,,127,4
201607,S12000040,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000040,,18-74,,All Delay Reasons,d,348,11
201607,S12000040,,18-74,,Health and Social Care Reasons,,334,11
201607,S12000040,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000040,,18-74,,Code 9 AWI,,14,0
201607,S12000040,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000040,,75plus,,All Delay Reasons,d,889,29
201607,S12000040,,75plus,,Health and Social Care Reasons,,724,23
201607,S12000040,,75plus,,Patient and Family Related Reasons,,52,2
201607,S12000040,,75plus,,Code 9 AWI,,113,4
201607,S12000040,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000041,,18plus,d,All Delay Reasons,d,366,12
201607,S12000041,,18plus,d,Health and Social Care Reasons,,134,4
201607,S12000041,,18plus,d,Patient and Family Related Reasons,,14,0
201607,S12000041,,18plus,d,Code 9 AWI,,125,4
201607,S12000041,,18plus,d,Code 9 Non-AWI,,93,3
201607,S12000041,,18-74,,All Delay Reasons,d,136,4
201607,S12000041,,18-74,,Health and Social Care Reasons,,18,1
201607,S12000041,,18-74,,Patient and Family Related Reasons,,6,0
201607,S12000041,,18-74,,Code 9 AWI,,50,2
201607,S12000041,,18-74,,Code 9 Non-AWI,,62,2
201607,S12000041,,75plus,,All Delay Reasons,d,230,7
201607,S12000041,,75plus,,Health and Social Care Reasons,,116,4
201607,S12000041,,75plus,,Patient and Family Related Reasons,,8,0
201607,S12000041,,75plus,,Code 9 AWI,,75,2
201607,S12000041,,75plus,,Code 9 Non-AWI,,31,1
201607,S12000042,,18plus,d,All Delay Reasons,d,1019,33
201607,S12000042,,18plus,d,Health and Social Care Reasons,,471,15
201607,S12000042,,18plus,d,Patient and Family Related Reasons,,117,4
201607,S12000042,,18plus,d,Code 9 AWI,,259,8
201607,S12000042,,18plus,d,Code 9 Non-AWI,,172,6
201607,S12000042,,18-74,,All Delay Reasons,d,345,11
201607,S12000042,,18-74,,Health and Social Care Reasons,,123,4
201607,S12000042,,18-74,,Patient and Family Related Reasons,,26,1
201607,S12000042,,18-74,,Code 9 AWI,,27,1
201607,S12000042,,18-74,,Code 9 Non-AWI,,169,5
201607,S12000042,,75plus,,All Delay Reasons,d,674,22
201607,S12000042,,75plus,,Health and Social Care Reasons,,348,11
201607,S12000042,,75plus,,Patient and Family Related Reasons,,91,3
201607,S12000042,,75plus,,Code 9 AWI,,232,7
201607,S12000042,,75plus,,Code 9 Non-AWI,,3,0
201607,S12000045,,18plus,d,All Delay Reasons,d,229,7
201607,S12000045,,18plus,d,Health and Social Care Reasons,,171,6
201607,S12000045,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000045,,18plus,d,Code 9 AWI,,0,0
201607,S12000045,,18plus,d,Code 9 Non-AWI,,58,2
201607,S12000045,,18-74,,All Delay Reasons,d,85,3
201607,S12000045,,18-74,,Health and Social Care Reasons,,27,1
201607,S12000045,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000045,,18-74,,Code 9 AWI,,0,0
201607,S12000045,,18-74,,Code 9 Non-AWI,,58,2
201607,S12000045,,75plus,,All Delay Reasons,d,144,5
201607,S12000045,,75plus,,Health and Social Care Reasons,,144,5
201607,S12000045,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000045,,75plus,,Code 9 AWI,,0,0
201607,S12000045,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000047,,18plus,d,All Delay Reasons,d,3635,117
201607,S12000047,,18plus,d,Health and Social Care Reasons,,2888,93
201607,S12000047,,18plus,d,Patient and Family Related Reasons,,35,1
201607,S12000047,,18plus,d,Code 9 AWI,,580,19
201607,S12000047,,18plus,d,Code 9 Non-AWI,,132,4
201607,S12000047,,18-74,,All Delay Reasons,d,1241,40
201607,S12000047,,18-74,,Health and Social Care Reasons,,975,31
201607,S12000047,,18-74,,Patient and Family Related Reasons,,31,1
201607,S12000047,,18-74,,Code 9 AWI,,103,3
201607,S12000047,,18-74,,Code 9 Non-AWI,,132,4
201607,S12000047,,75plus,,All Delay Reasons,d,2394,77
201607,S12000047,,75plus,,Health and Social Care Reasons,,1913,62
201607,S12000047,,75plus,,Patient and Family Related Reasons,,4,0
201607,S12000047,,75plus,,Code 9 AWI,,477,15
201607,S12000047,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000048,,18plus,d,All Delay Reasons,d,1169,38
201607,S12000048,,18plus,d,Health and Social Care Reasons,,904,29
201607,S12000048,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000048,,18plus,d,Code 9 AWI,,141,5
201607,S12000048,,18plus,d,Code 9 Non-AWI,,124,4
201607,S12000048,,18-74,,All Delay Reasons,d,314,10
201607,S12000048,,18-74,,Health and Social Care Reasons,,190,6
201607,S12000048,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000048,,18-74,,Code 9 AWI,,0,0
201607,S12000048,,18-74,,Code 9 Non-AWI,,124,4
201607,S12000048,,75plus,,All Delay Reasons,d,855,28
201607,S12000048,,75plus,,Health and Social Care Reasons,,714,23
201607,S12000048,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000048,,75plus,,Code 9 AWI,,141,5
201607,S12000048,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000049,,18plus,d,All Delay Reasons,d,2746,89
